epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.90888,1.69037,4.83533,1.13819,0.00045,0.075,0.00057,0.00015,1.55231,4.98369,1.04001,0,0,0
2,16.9579,1.76604,5.00767,1.16424,0.00057,0.09167,0.00064,0.00019,1.52778,4.9934,1.03411,9.901e-06,9.901e-06,9.901e-06
3,24.5532,1.88529,5.01429,1.22931,0.00061,0.09167,0.0007,0.00017,1.50653,4.95793,1.02607,1.9604e-05,1.9604e-05,1.9604e-05
4,32.0661,1.83883,5.79573,1.22313,0.00066,0.09167,0.00078,0.00019,1.45854,4.92881,1.01407,2.9109e-05,2.9109e-05,2.9109e-05
5,39.5065,1.93676,5.37644,1.22105,0.00078,0.09167,0.00092,0.00026,1.43368,4.92749,1.00113,3.8416e-05,3.8416e-05,3.8416e-05
6,46.7881,1.5304,4.81977,1.03966,0.00092,0.09167,0.00094,0.00027,1.40891,4.91746,0.98815,4.7525e-05,4.7525e-05,4.7525e-05
7,53.9051,1.66233,4.76367,1.10934,0.00027,0.05,0.00058,0.00027,1.40708,4.90153,0.96991,5.6436e-05,5.6436e-05,5.6436e-05
8,60.9826,1.45302,4.87834,1.01644,0.00118,0.075,0.00127,0.00032,1.39048,4.89088,0.95715,6.5149e-05,6.5149e-05,6.5149e-05
9,68.0941,1.65424,4.57836,1.05112,0.00146,0.075,0.00137,0.00033,1.36512,4.87738,0.94768,7.3664e-05,7.3664e-05,7.3664e-05
10,75.058,1.39744,4.64352,0.99391,0.00193,0.09167,0.00156,0.00046,1.35653,4.85077,0.93829,8.1981e-05,8.1981e-05,8.1981e-05
11,82.0308,1.46462,4.8348,1.0181,0.00233,0.09167,0.00214,0.00129,1.31178,4.85596,0.93086,9.01e-05,9.01e-05,9.01e-05
